一级指标	二级指标	三级指标	四级指标	细分指标
环境（E）	E1 碳排放与管理	E1.1 碳排放	E1.1.1 碳排放基本信息	E1.1.1.1 碳排放设施
环境（E）	E1 碳排放与管理	E1.1 碳排放	E1.1.1 碳排放基本信息	E1.1.1.2 温室气体来源与类型
环境（E）	E1 碳排放与管理	E1.1 碳排放	E1.1.1 碳排放基本信息	E1.1.1.3 温室气体核算方法
环境（E）	E1 碳排放与管理	E1.1 碳排放	E1.1.2 范围一碳排放	E1.1.2.1 直接温室气体排放量
环境（E）	E1 碳排放与管理	E1.1 碳排放	E1.1.2 范围一碳排放	E1.1.2.2 直接温室气体排放强度
环境（E）	E1 碳排放与管理	E1.1 碳排放	E1.1.3 范围二碳排放	E1.1.3.1 间接温室气体排放量
环境（E）	E1 碳排放与管理	E1.1 碳排放	E1.1.4 范围三碳排放	E1.1.4.1 其他间接温室气体排放量
环境（E）	E1 碳排放与管理	E1.2 碳排放管理	E1.2.1 温室气体减排计划	E1.2.1.1 企业温室气体减排管理办法
环境（E）	E1 碳排放与管理	E1.2 碳排放管理	E1.2.1 温室气体减排计划	E1.2.1.2 温室气体减排费用
环境（E）	E1 碳排放与管理	E1.2 碳排放管理	E1.2.2 温室气体减排效果	E1.2.2.1 温室气体减排量
环境（E）	E1 碳排放与管理	E1.2 碳排放管理	E1.2.3 碳资产管理	E1.2.3.1 碳排放权交易额
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.1 废水排放	E2.1.1.1 废水中含污染物种类
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.1 废水排放	E2.1.1.2 废水中污染物浓度
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.1 废水排放	E2.1.1.3 废水排放许可证持有情况
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.1 废水排放	E2.1.1.4 废水排放量
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.1 废水排放	E2.1.1.5 废水排放达标情况
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.1 废水排放	E2.1.1.6 废水排放强度
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.1 废水排放	E2.1.1.7 废水减排量
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.2 废水治理	E2.1.2.1 企业废水治理办法
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.2 废水治理	E2.1.2.2 废水处理设施情况
环境（E）	E2 污染物排放及处理	E2.1 废水排放与管理	E2.1.2 废水治理	E2.1.2.3 水质检测与监测机制
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.1 废气排放	E2.2.1.1 废气排放许可证持有情况
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.1 废气排放	E2.2.1.2 废气中含污染物种类
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.1 废气排放	E2.2.1.3 废气中污染物浓度
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.1 废气排放	E2.2.1.4 废气排放达标情况
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.1 废气排放	E2.2.1.5 废气排放强度
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.1 废气排放	E2.2.1.6 废气减排量
